sentimen,tweet,hashtags,mentions,tweet_length
0,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti hoax buatan penguasa ya kan rockygerung,[],"['@prabowo', '@rockygerung']",195
1,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy,[],[],93
1,di era jokowi ekonomi indonesia semakin baik,"['#01IndonesiaMaju', '#JokowiLagi', '#JokowiMenangTotalDebat']",[],126
2,bagi sumatera selatan asian games berdampak pd ekonomi langsung diprediksi mencapai 18 5 triliun indonesia maju jokowi hebat,[],[],128
0,negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak,[],[],244
1,yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu e sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi,[],[],276
2,masa tenang msih ngoceh aja ttp jokowi harga mati,[],[],53
2,kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati,"['#UASdifitnahKejiBalasDiTPS', '#UASdifitnahKejiBalasDiTPS']",[],146
1,iya bener aa kita mantap kan pilihan ke pemimpin yg bs memberi solusi jokowi bukan yg menyalahkan pemimpin sebelumnya sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih pemimpin yg rajin ibadah wajib bisa ngaji jumatan,[],"['@jokowi', '@SBYudhoyono']",285
0,prabowo sandi sepakat tak ambil gaji karena negara sedang susah,['#GoAceh'],[],238
2,pilih pemimpin itu yg udh jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi coblos 01 yuk kerja pasti,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],222
2,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cuma cuma bagi masyarakat yang belum berpenghasilan,['#2019JokowiKyaiMaruf'],[],248
0,gak nginti lu to yunartowijaya dan si atabdillahtoha juga gak ngacaaa gak usah ngajarin sandi soal ekonomi dibanding jokowi,[],"['@yunartowijaya', '@AT_AbdillahToha']",130
2,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak,"['#2019JokowiKyaiMaruf', '#RakyatInginJokowiMenang']",[],315
1,terlalu berat nge bahas ekonomi dgn angka2 cukup bahas mobil lejen aj,[],[],72
1,mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak2 pada ahirnya memang keluarga lah asset plg berharga sehat sll pakdeee,[],[],173
2,pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos 01 yuk kerja pasti,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],277
2,dalam 16 pakta integritas antara prabowo sandi dan ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati tidak ada itu khilafah khilafah hanyalah bualan para makhluk di kolam,"['#UASdifitnahKejiDanBrutal', '#UASdifitnahKejiBalasDiTPS']",[],279
1,saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga 25 ribu tapi sekarang beli lipstik nyx gak cukup 25 ribu,[],[],137
2,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun sandi sejak jadi wagub jg demikian susah ya cari orang seperti mereka yang gak ambil gaji dari hasil mereka kerja untuk negara,[],[],235
1,assalamualaikum saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa semoga allah swt mengabulkan itu aamiin ya rabb,[],"['@prabowo', '@sandiuno']",340
0,jika terpilih prabowo sandiaga janji tak ambil gaji kita tahu mereka orang orang yang superkaya mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh,['#Echobox'],[],388
0,prabowo apa bapak gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg tirakat/mujahadah jika tdk maka 02 akan gagal ayo semua tirakat/ munajad in,[],['@prabowo'],255
2,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan,['#17AprilTusukPrabowoSandi'],[],183
2,kepercayaan hanya diberikan pd mrk yg berpengalaman seorang jokowi memiliki wakil yg berpengalaman dibidang ekonomi coblos yuk 01 ya,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",['@jokowi'],290
0,ummat islam yg waras dan cerdas pasti senang beramal coblos prabowo anda ikut andil dlm beramal gaji beliau tdk diambil tp untk amal,[],[],139
2,keberhasilan tidak hanya dibidang infrastruktur jokowi jg berhasil memperbaiki ekonomi indonesia coblos yuk 01 ya,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih']",[],278
0,model ngeles petruk sudah ketaker ber busa2 didepan sandi ngomongin ekonomi makro dg congkaknya untung sandi nya sabar gak di kick balik pantesan menteri2nya yg pintar2 pada mbodoni lha juragannya kyk gini pekk nya prabowo sandiuno,['#UASdifitnahKejiBalasDiTPS'],"['@prabowo', '@sandiuno']",278
2,dengan memilih 02 kita sudah bersodakoh karna prabowo sandi menyumbangkan gaji mereka untuk negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden dan wakil presiden ri,['#SAVE_UAS'],[],199
